subject,Testing Time Frame,num students common,Start Year,Start Year Grade,Start Year RIT,End Year,End Year Grade,End Year RIT,Observed Growth,Projected Growth,Difference,Percent Meeting Projection,Cohort
Math,Fall,334,18-19,3,196.8,19-20,4,209.8,13,11.9,1.1,63,CO2028
Math,Fall,357,18-19,4,211,19-20,5,224.3,13.2,10.9,2.3,74,CO2027
Math,Fall,333,18-19,5,223.9,19-20,6,228.4,4.5,7.2,-2.7,39,CO2026
Math,Fall,385,18-19,6,228.9,19-20,7,235.8,6.9,7.7,-0.8,52,CO2025
Math,Fall,392,18-19,7,234.1,19-20,8,239.5,5.4,6.3,-0.9,51,CO2024
Math,Fall,337,18-19,8,238.9,19-20,9,243,4.1,5,-0.9,48,CO2023
Math,Fall,191,18-19,9,237.4,19-20,10,240.5,3.1,2.8,0.3,59,CO2022
Math,Fall,45,18-19,10,225.8,19-20,11,226.2,0.4,1.9,-1.5,49,CO2021
Math,Fall,10,18-19,11,225.8,19-20,12,227.7,1.9,NA,NA,NA,CO2020
Reading,Fall,334,18-19,3,196.5,19-20,4,207.6,11.1,10.2,0.9,61,CO2028
Reading,Fall,356,18-19,4,207.1,19-20,5,215,7.9,7.6,0.3,62,CO2027
Reading,Fall,334,18-19,5,214.7,19-20,6,220.8,6,5.3,0.7,60,CO2026
Reading,Fall,384,18-19,6,221.4,19-20,7,224.3,3,4.8,-1.8,49,CO2025
Reading,Fall,392,18-19,7,223.2,19-20,8,228.2,5,4,1,63,CO2024
Reading,Fall,350,18-19,8,228,19-20,9,231.3,3.3,3.6,-0.3,54,CO2023
Reading,Fall,352,18-19,9,232.2,19-20,10,235.1,2.9,2.5,0.4,58,CO2022
Reading,Fall,8,18-19,10,NA,19-20,11,NA,NA,NA,NA,NA,CO2021
Reading,Fall,11,18-19,11,221,19-20,12,223.2,2.2,NA,NA,NA,CO2020
Math,Fall,350,17-18,3,197.9,18-19,4,211.6,13.6,12,1.6,66,CO2027
Math,Fall,320,17-18,4,212.5,18-19,5,224.7,12.2,11,1.2,68,CO2026
Math,Fall,375,17-18,5,224.5,18-19,6,228.9,4.5,7.3,-2.8,39,CO2025
Math,Fall,370,17-18,6,228.1,18-19,7,234.4,6.4,7.6,-1.2,53,CO2024
