School,Year,Subject,Grade,Score,Cohort,Test Name
BRDV,15-16,Reading,3,80.90%,CO2025,Iowa Assessment
BRDV,15-16,Reading,4,88.10%,CO2024,Iowa Assessment
BRDV,15-16,Reading,5,90.70%,CO2023,Iowa Assessment
BRDV,15-16,Reading,6,82.70%,CO2022,Iowa Assessment
BRDV,15-16,Math,3,91.50%,CO2025,Iowa Assessment
BRDV,15-16,Math,4,95.20%,CO2024,Iowa Assessment
BRDV,15-16,Math,5,100.00%,CO2023,Iowa Assessment
BRDV,15-16,Math,6,92.70%,CO2022,Iowa Assessment
BRDV,15-16,Science,3,95.80%,CO2025,Iowa Assessment
BRDV,15-16,Science,4,88.90%,CO2024,Iowa Assessment
BRDV,15-16,Science,5,100.00%,CO2023,Iowa Assessment
BRDV,15-16,Science,6,92.70%,CO2022,Iowa Assessment
BRDV,16-17,Reading,3,76.10%,CO2026,Iowa Assessment
BRDV,16-17,Reading,4,86.10%,CO2025,Iowa Assessment
BRDV,16-17,Reading,5,81.60%,CO2024,Iowa Assessment
BRDV,16-17,Reading,6,91.80%,CO2023,Iowa Assessment
BRDV,16-17,Math,3,87.00%,CO2026,Iowa Assessment
BRDV,16-17,Math,4,93.00%,CO2025,Iowa Assessment
BRDV,16-17,Math,5,85.70%,CO2024,Iowa Assessment
BRDV,16-17,Math,6,95.90%,CO2023,Iowa Assessment
BRDV,16-17,Science,3,95.70%,CO2026,Iowa Assessment
BRDV,16-17,Science,4,90.70%,CO2025,Iowa Assessment
BRDV,16-17,Science,5,79.60%,CO2024,Iowa Assessment
BRDV,16-17,Science,6,93.90%,CO2023,Iowa Assessment
BRDV,17-18,Reading,3,93.00%,CO2027,Iowa Assessment
BRDV,17-18,Reading,4,86.00%,CO2026,Iowa Assessment
BRDV,17-18,Reading,5,88.00%,CO2025,Iowa Assessment
BRDV,17-18,Reading,6,87.50%,CO2024,Iowa Assessment
BRDV,17-18,Math,3,90.70%,CO2027,Iowa Assessment
BRDV,17-18,Math,4,92.00%,CO2026,Iowa Assessment
BRDV,17-18,Math,5,90.00%,CO2025,Iowa Assessment
BRDV,17-18,Math,6,95.80%,CO2024,Iowa Assessment
BRDV,17-18,Science,3,95.40%,CO2027,Iowa Assessment
BRDV,17-18,Science,4,94.00%,CO2026,Iowa Assessment
BRDV,17-18,Science,5,91.80%,CO2025,Iowa Assessment
BRDV,17-18,Science,6,87.50%,CO2024,Iowa Assessment
CODY,15-16,Reading,3,91.70%,CO2025,Iowa Assessment
CODY,15-16,Reading,4,88.00%,CO2024,Iowa Assessment
CODY,15-16,Reading,5,72.70%,CO2023,Iowa Assessment
CODY,15-16,Reading,6,93.90%,CO2022,Iowa Assessment
CODY,15-16,Math,3,95.80%,CO2025,Iowa Assessment
CODY,15-16,Math,4,94.00%,CO2024,Iowa Assessment
CODY,15-16,Math,5,93.20%,CO2023,Iowa Assessment
CODY,15-16,Math,6,98.00%,CO2022,Iowa Assessment
CODY,15-16,Science,3,97.90%,CO2025,Iowa Assessment
CODY,15-16,Science,4,96.00%,CO2024,Iowa Assessment
